 no_of_dependents, self_employed, income_annum, loan_amount, loan_term, cibil_score, commercial_assets_value, luxury_assets_value, bank_asset_value, loan_status
2,0,9600000,29900000,12,778,17600000,22700000,8000000,0
0,1,4100000,12200000,8,417,2200000,8800000,3300000,1
3,0,9100000,29700000,20,506,4500000,33300000,12800000,1
3,0,8200000,30700000,8,467,3300000,23300000,7900000,1
5,1,9800000,24200000,20,382,8200000,29400000,5000000,1
0,1,4800000,13500000,10,319,8300000,13700000,5100000,1
5,0,8700000,33000000,4,678,14800000,29200000,4300000,0
2,1,5700000,15000000,20,382,5700000,11800000,6000000,1
0,1,800000,2200000,20,782,800000,2800000,600000,0
5,0,1100000,4300000,10,388,1400000,3300000,1600000,1
4,1,2900000,11200000,2,547,4700000,9500000,3100000,0
2,1,6700000,22700000,18,538,5800000,20400000,6400000,1
3,1,5000000,11600000,16,311,9600000,14600000,4300000,1
2,1,9100000,31500000,14,679,16600000,20900000,5000000,0
1,0,1900000,7400000,6,469,1200000,5900000,1900000,1
5,0,4700000,10700000,10,794,3900000,16400000,4400000,0
2,1,500000,1600000,4,663,100000,1300000,700000,0
4,1,2900000,9400000,14,780,2800000,6700000,4300000,0
2,0,2700000,10300000,10,736,0,6200000,3300000,0
5,0,6300000,14600000,12,652,3500000,23500000,5900000,0
2,0,5000000,19400000,12,315,1600000,18000000,6100000,1
4,0,5800000,14000000,16,530,11300000,22200000,5400000,1
4,1,6500000,25700000,18,311,1700000,19500000,8500000,1
0,1,500000,1400000,2,551,600000,1100000,300000,0
0,0,4900000,9800000,16,324,8700000,10000000,3300000,1
5,0,3100000,9500000,20,514,3100000,6600000,2600000,1
4,0,8200000,28100000,12,696,10600000,25300000,7200000,0
4,1,2400000,5600000,4,662,4200000,5400000,2500000,0
5,1,7000000,24000000,6,336,11900000,27500000,9700000,1
3,1,9000000,31500000,10,850,12400000,33700000,8000000,0
2,0,9800000,25300000,12,313,5200000,25500000,9300000,1
2,0,5700000,12000000,6,363,7400000,21700000,4300000,1
1,1,800000,1600000,10,436,200000,2200000,1000000,1
5,1,8400000,22000000,2,830,3900000,19900000,5400000,0
3,0,4900000,11900000,8,612,1200000,19000000,5800000,0
2,1,1700000,3400000,8,691,2800000,6000000,900000,0
3,0,1600000,6200000,18,636,700000,5300000,1400000,0
5,1,8000000,27200000,6,348,300000,16700000,7100000,1
5,0,3600000,7700000,16,830,1300000,10000000,2900000,0
3,1,1500000,5100000,6,352,200000,5600000,900000,1
1,0,7800000,18100000,2,712,11200000,21700000,9000000,0
2,0,9100000,24900000,16,822,12100000,31000000,5200000,0
3,0,1400000,3400000,6,540,1500000,3900000,800000,1
2,1,800000,2300000,12,342,1300000,1800000,800000,1
5,0,6500000,13400000,18,787,300000,16200000,5400000,0
4,0,8000000,27800000,16,331,6300000,21400000,10900000,1
3,1,4200000,14600000,6,679,6900000,8700000,4900000,0
1,1,4900000,19100000,14,677,9100000,17700000,6500000,0
3,0,5500000,20500000,12,634,8600000,18500000,8200000,0
1,1,9500000,19100000,16,662,10500000,37700000,11700000,0
4,0,7300000,25400000,16,502,1800000,20500000,10500000,1
2,0,8700000,24700000,10,435,3500000,21800000,11300000,1
5,0,3800000,7600000,4,689,100000,9300000,3400000,0
1,1,8400000,23000000,12,657,14800000,31900000,8200000,0
2,1,5100000,19700000,20,590,9300000,19400000,3400000,0
5,0,6700000,24500000,12,818,5600000,16300000,6200000,0
2,0,4300000,10600000,18,431,1500000,9300000,5200000,1
5,1,9300000,30500000,18,841,10300000,34600000,8700000,0
1,0,7400000,18400000,20,421,9100000,17500000,4100000,1
4,1,5500000,18200000,16,797,4900000,18600000,4800000,0
2,0,8500000,18900000,18,478,16300000,25900000,11400000,1
3,1,9600000,30500000,18,669,1900000,26500000,9300000,0
5,1,8800000,28900000,6,365,8600000,27400000,4700000,1
3,1,3300000,7500000,20,586,5600000,10500000,2900000,0
4,1,3900000,12300000,18,784,6900000,13100000,2800000,0
1,0,4100000,10300000,12,364,6100000,14900000,2800000,1
3,0,8300000,29100000,10,715,11900000,24100000,11900000,0
0,1,2700000,10100000,20,693,1700000,5900000,1400000,1
4,0,5600000,12400000,4,777,3100000,11800000,5500000,0
0,0,1900000,5000000,12,312,2800000,4900000,2400000,1
4,1,500000,1500000,20,340,200000,1900000,600000,1
5,1,5300000,18600000,4,386,9700000,11900000,4200000,0
5,0,7000000,18300000,4,418,11700000,21500000,7600000,1
3,1,5800000,16700000,16,735,9400000,12600000,5600000,0
2,0,2600000,8400000,6,494,3800000,5600000,2000000,1
2,0,1900000,6500000,18,671,2500000,4800000,1100000,0
4,0,5700000,14800000,16,697,7800000,12900000,6300000,0
0,0,9000000,33500000,8,801,8900000,35400000,11100000,0
2,0,8500000,29400000,12,576,5600000,25200000,9000000,0
0,0,700000,1400000,14,639,700000,2400000,900000,0
